City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Miguel Auza,MX,24.2933,-103.4503,62.58,37,100,20.89,overcast clouds
277,Ouesso,CG,1.6136,16.0517,69.75,34,68,1.88,broken clouds
278,Terrell,US,32.736,-96.2753,52.52,45,0,4.61,clear sky
279,Alingsas,SE,57.9303,12.5335,39.34,90,45,4.94,scattered clouds
280,San Policarpo,PH,12.1791,125.5072,81.72,73,62,15.28,broken clouds
281,Richards Bay,ZA,-28.783,32.0377,70.9,92,40,3.11,light rain
282,Moron,AR,-34.6534,-58.6198,69.96,65,49,8.59,scattered clouds
283,Mayo,US,38.8876,-76.5119,34.86,51,100,1.99,overcast clouds
284,Cayenne,GF,4.9333,-52.3333,80.1,86,100,5.99,overcast clouds
285,Wanning,CN,18.8003,110.3967,71.33,92,93,5.44,overcast clouds
286,Enugu,NG,6.4402,7.4943,73.72,42,2,5.23,clear sky
287,Mehamn,NO,71.0357,27.8492,16.5,86,32,13.67,scattered clouds
288,Nome,US,64.5011,-165.4064,-0.33,60,0,11.5,clear sky
289,Abu Kamal,SY,34.4506,40.9171,51.33,60,78,4.34,broken clouds
290,Fort Nelson,CA,58.8053,-122.7002,18.99,86,40,3.44,scattered clouds
291,Dhidhdhoo,MV,6.8833,73.1,79.81,72,58,7.36,broken clouds
292,Kiunga,PG,-6.1219,141.2906,83.71,74,95,0.92,overcast clouds
293,Sao Francisco,BR,-15.9486,-44.8644,68.68,98,100,0.98,overcast clouds
294,Muros,ES,42.7762,-9.0603,51.24,89,36,8.52,scattered clouds
295,Coro,VE,11.4045,-69.6734,77.13,83,34,15.82,scattered clouds
296,Santa Cruz Del Sur,CU,20.7147,-77.9956,78.19,51,5,11.21,light rain
297,Saint George,US,37.1041,-113.5841,61.27,19,0,5.99,clear sky
298,Pontes E Lacerda,BR,-15.2261,-59.3353,70.88,97,78,2.57,broken clouds
299,Cumberland,US,35.0502,-78.8664,45.03,58,75,6.91,broken clouds
300,Hammerfest,NO,70.6634,23.6821,25.25,68,0,17.27,clear sky
301,Turkmenabat,TM,39.0733,63.5786,39.18,81,75,2.3,broken clouds
302,Maridi,SS,4.9158,29.4742,68.14,24,35,4.21,scattered clouds
303,Albania,AL,41.0,20.0,34.99,84,70,2.93,broken clouds
304,Puerto Escondido,MX,15.85,-97.0667,81.43,69,0,4.61,clear sky
305,Zharkovskiy,RU,55.849,32.2697,30.34,94,100,10.92,light snow
306,Massape,BR,-3.5228,-40.3428,76.21,83,35,4.45,scattered clouds
307,Iberia,US,29.9502,-91.7507,53.6,37,0,4.61,clear sky
308,Bartica,GY,6.4,-58.6167,77.32,98,91,2.91,overcast clouds
309,Benguela,AO,-12.5763,13.4055,76.24,72,100,2.8,overcast clouds
310,Pozega,HR,45.3403,17.6853,49.62,74,100,15.82,overcast clouds
311,Omaruru,NA,-21.4333,15.9333,65.7,94,100,10.63,heavy intensity rain
312,Pathein,MM,16.7833,94.7333,64.53,64,64,6.31,broken clouds
313,Faya,SA,18.3851,42.4509,48.72,73,4,1.79,clear sky
314,Vastseliina,EE,57.7303,27.2932,32.65,95,100,8.01,overcast clouds
315,Longyearbyen,SJ,78.2186,15.6401,19.24,68,20,12.66,few clouds
316,Maniitsoq,GL,65.4167,-52.9,4.75,77,100,18.7,overcast clouds
317,Sur,OM,22.5667,59.5289,70.0,64,1,10.67,clear sky
318,Aksarka,RU,66.5606,67.7975,-13.9,100,94,6.93,overcast clouds
319,Waddan,LY,29.1614,16.139,56.57,25,52,7.05,broken clouds
320,Mega,ET,4.05,38.3,62.73,35,58,8.25,broken clouds
321,Port Lincoln,AU,-34.7333,135.8667,77.85,49,0,16.93,clear sky
322,Harper,LR,4.375,-7.7169,79.14,83,88,7.96,overcast clouds
323,Bira,RU,49.0,132.4667,-2.52,90,81,1.92,broken clouds
324,Paranagua,BR,-25.52,-48.5092,80.76,94,32,3.13,scattered clouds
325,Kefamenanu,ID,-9.4467,124.4781,78.66,79,37,3.33,scattered clouds
326,Tura,IN,25.5198,90.2201,51.13,79,0,3.11,clear sky
327,Xining,CN,36.6167,101.7667,7.36,93,92,2.77,overcast clouds
328,Khartoum,SD,15.5518,32.5324,62.02,26,0,1.99,clear sky
329,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,99,13.31,overcast clouds
330,Port Macquarie,AU,-31.4333,152.9167,71.56,71,86,15.99,overcast clouds
331,Evensk,RU,61.95,159.2333,1.99,71,0,7.76,clear sky
332,Ponta Delgada,PT,37.7333,-25.6667,60.49,94,75,8.05,broken clouds
333,Mattawa,US,46.7379,-119.9028,50.0,69,98,1.01,overcast clouds
334,Fort Madison,US,40.6298,-91.3151,35.33,86,61,14.29,broken clouds
335,Murliganj,IN,25.9,86.9833,53.71,79,0,4.32,clear sky
336,Constitucion,CL,-35.3333,-72.4167,60.84,76,7,9.13,clear sky
337,Simao,CN,22.7886,100.9748,43.7,98,1,1.74,clear sky
338,Lavrentiya,RU,65.5833,-171.0,-10.93,93,15,5.55,few clouds
339,Jodhpur,IN,26.2867,73.03,60.21,50,1,5.59,clear sky
340,Karlstad,SE,59.3793,13.5036,30.76,86,33,4.61,scattered clouds
341,Berlevag,NO,70.8578,29.0864,19.31,87,37,19.46,scattered clouds
342,Puerto Ayacucho,VE,5.6639,-67.6236,83.17,59,92,5.3,overcast clouds
343,Ucluelet,CA,48.9329,-125.5528,47.08,90,78,1.99,broken clouds
