City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Caruray,PH,2022-02-03 01:08:16,10.3094,119.0128,79.68,84,90,9.01
229,Constitucion,CL,2022-02-03 01:05:19,-35.3333,-72.4167,58.12,87,69,5.48
230,Krasnyy Chikoy,RU,2022-02-03 01:09:17,50.3643,108.7512,-7.17,99,100,1.99
231,Kavieng,PG,2022-02-03 01:06:36,-2.5744,150.7967,79.7,81,100,15.64
232,Manuk Mangkaw,PH,2022-02-03 01:09:17,4.8,119.85,80.6,75,100,5.35
233,Palasa,IN,2022-02-03 01:09:17,18.7667,84.4167,67.26,89,12,4.34
234,Fergus Falls,US,2022-02-03 01:09:18,46.283,-96.0776,-8.14,64,0,6.91
235,De-Kastri,RU,2022-02-03 01:09:18,51.4667,140.7833,4.06,79,100,17.54
236,Dublin,US,2022-02-03 01:09:19,37.7021,-121.9358,61.39,29,0,8.05
237,La Romana,DO,2022-02-03 01:09:19,18.4273,-68.9728,76.73,88,40,0.0
238,Sao Joao Da Barra,BR,2022-02-03 01:09:20,-21.6403,-41.0511,74.71,91,100,6.42
239,Tashtagol,RU,2022-02-03 01:08:05,52.7657,87.8894,-3.48,100,100,2.55
240,Novikovo,RU,2022-02-03 01:09:20,51.1537,37.8879,31.6,99,100,3.65
241,Sembakung,ID,2022-02-03 01:09:21,3.8167,117.25,80.53,84,58,1.77
242,Petropavlovsk-Kamchatskiy,RU,2022-02-03 01:09:21,53.0452,158.6483,30.78,69,75,6.71
243,Bathsheba,BB,2022-02-03 01:09:21,13.2167,-59.5167,75.81,83,20,19.57
244,Richards Bay,ZA,2022-02-03 01:09:22,-28.783,32.0377,76.15,83,1,15.57
245,Vizinga,RU,2022-02-03 01:09:22,61.0749,50.1031,20.73,94,100,6.73
246,Ellsworth,US,2022-02-03 01:09:23,44.5434,-68.4195,40.86,96,100,0.0
247,Tres Lagoas,BR,2022-02-03 01:08:49,-20.7511,-51.6783,74.1,90,98,4.76
248,Tono,JP,2022-02-03 01:09:23,39.3167,141.5333,27.82,76,94,12.55
249,Xining,CN,2022-02-03 01:09:24,36.6167,101.7667,11.35,62,6,1.97
250,Inirida,CO,2022-02-03 01:09:24,3.8653,-67.9239,77.58,75,37,1.77
251,Padang,ID,2022-02-03 01:09:25,-0.9492,100.3543,79.83,80,70,3.44
252,Pevek,RU,2022-02-03 01:09:25,69.7008,170.3133,-6.63,74,0,4.12
253,Skibotn,NO,2022-02-03 01:09:26,69.3913,20.2679,14.09,87,100,10.83
254,Uglekamensk,RU,2022-02-03 01:09:26,43.2172,133.2303,10.35,62,10,6.2
255,Sitka,US,2022-02-03 01:06:55,57.0531,-135.33,39.09,93,100,5.75
256,Ankang,CN,2022-02-03 01:09:27,32.68,109.0172,33.66,64,100,2.06
257,Saldanha,ZA,2022-02-03 01:09:27,-33.0117,17.9442,63.21,90,0,8.08
258,Loandjili,CG,2022-02-03 01:09:28,-4.7561,11.8578,78.46,80,100,9.71
259,Kalundborg,DK,2022-02-03 01:09:28,55.6795,11.0886,39.51,91,100,18.63
260,Bitung,ID,2022-02-03 01:09:28,1.4451,125.1824,79.65,82,92,9.69
261,Noshiro,JP,2022-02-03 01:09:29,40.2039,140.0242,33.33,59,99,21.03
262,Bairiki,KI,2022-02-03 01:09:29,1.3292,172.9752,84.2,84,20,5.75
263,Zhezkazgan,KZ,2022-02-03 01:09:20,47.8043,67.7144,0.19,91,15,5.55
264,Mongar,BT,2022-02-03 01:09:30,27.2747,91.2396,34.25,87,8,5.1
265,Slavonski Brod,HR,2022-02-03 01:09:30,45.1603,18.0156,41.25,75,4,9.13
266,General Pico,AR,2022-02-03 01:09:31,-35.6566,-63.7568,68.92,90,100,5.41
267,Nanortalik,GL,2022-02-03 01:09:31,60.1432,-45.2371,13.33,61,100,9.84
268,Gazojak,TM,2022-02-03 01:09:31,41.1875,61.4036,36.93,59,0,8.5
269,Hirara,JP,2022-02-03 01:09:32,24.8,125.2833,68.27,88,75,9.22
270,Saint-Francois,FR,2022-02-03 01:09:32,46.4154,3.9054,41.41,99,100,4.61
271,Ahipara,NZ,2022-02-03 01:09:32,-35.1667,173.1667,76.35,63,67,14.52
272,Sioux Lookout,CA,2022-02-03 01:09:33,50.1001,-91.917,-11.45,89,100,8.7
273,Carlsbad,US,2022-02-03 01:08:03,33.1581,-117.3506,65.62,15,0,3.0
274,Bhikangaon,IN,2022-02-03 01:07:09,21.8667,75.95,65.41,37,0,4.63
275,Lagos,NG,2022-02-03 01:06:45,6.5833,3.75,72.5,92,22,0.63
276,Katsuura,JP,2022-02-03 01:09:34,35.1333,140.3,48.18,47,100,5.73
277,Udachnyy,RU,2022-02-03 01:09:34,66.4167,112.4,-33.65,100,50,2.39
278,Chemainus,CA,2022-02-03 01:10:34,48.9163,-123.7194,39.52,80,100,4.0
279,La Ferte-Bernard,FR,2022-02-03 01:10:35,48.1863,0.6536,46.02,96,100,4.88
280,Escuintla,GT,2022-02-03 01:10:36,14.305,-90.785,79.48,80,69,1.03
281,Sarakhs,IR,2022-02-03 01:10:36,36.5449,61.1577,45.14,37,0,9.98
282,Mayo,US,2022-02-03 01:10:36,38.8876,-76.5119,45.09,86,0,5.75
283,Boppard,DE,2022-02-03 01:10:37,50.2308,7.5899,49.12,87,100,4.14
284,Sarab,IR,2022-02-03 01:10:37,38.6066,44.9883,23.68,78,100,4.36
285,Cockburn Town,TC,2022-02-03 01:08:46,21.4612,-71.1419,73.36,78,75,13.8
286,Mangan,IN,2022-02-03 01:10:38,27.5167,88.5333,45.75,61,43,5.77
287,Maarianhamina,AX,2022-02-03 01:10:38,60.0973,19.9348,26.91,73,100,10.49
288,Ozernovskiy,RU,2022-02-03 01:10:39,51.5,156.5167,28.56,74,100,6.64
289,Moose Factory,CA,2022-02-03 01:10:39,51.2585,-80.6094,-20.63,98,14,3.2
290,Takoradi,GH,2022-02-03 01:08:27,4.8845,-1.7554,78.96,84,62,4.36
291,Poyarkovo,RU,2022-02-03 01:10:40,49.6,128.6833,-10.23,94,17,6.02
