City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Humberto De Campos,BR,75.7,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
564,Cockburn Town,TC,75.16,few clouds,21.4612,-71.1419,Osprey Beach Hotel
565,Isangel,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
566,Palauig,PH,80.94,scattered clouds,15.435,119.9045,Alperi Botique Resort
570,Kendari,ID,84.04,overcast clouds,-3.945,122.4989,Hotel Wixel
575,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
576,The Valley,AI,77.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
583,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
588,Mucurapo,TT,79.25,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
591,Hobyo,SO,75.65,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
594,Puerto Colombia,CO,78.89,clear sky,10.9878,-74.9547,Hotel El Emigrante
596,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
599,Emerald,AU,80.74,clear sky,-23.5333,148.1667,The Irish Village
603,Chazuta,PE,83.25,overcast clouds,-6.5742,-76.1367,Hospedaje Feliz Amanecer
607,Kieta,PG,86.58,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
609,Labuhan,ID,80.69,overcast clouds,-6.8844,112.2051,DoubleFAG
614,Ligayan,PH,81.5,overcast clouds,4.6533,119.4706,
615,Caravelas,BR,77.04,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
622,Xique-Xique,BR,79.16,overcast clouds,-10.8218,-42.7263,Hotel J. Macedo
625,Inhambane,MZ,76.12,light rain,-23.865,35.3833,Oceano
628,Tubuala,PA,82.51,clear sky,9.5167,-79.0333,Río Nabagana
629,Thinadhoo,MV,82.29,overcast clouds,0.5333,72.9333,
634,Vao,NC,80.87,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
642,Sungairaya,ID,77.79,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
646,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
654,Bowen,AU,80.82,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
659,Puerto Rondon,CO,80.65,scattered clouds,6.2805,-71.1,Urbanización Santa Clara
665,Mildura,AU,83.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
666,Takaungu,KE,75.81,overcast clouds,-3.6837,39.8566,Takaungu House
669,Salinopolis,BR,77.63,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
